course_number,course_title
CHEM 301A,Undergraduate Lab Instruction
CHEM 301B,Undergraduate Chemistry Instruction
CHEM 301C,Chemistry Teacher Scholars
CHEM 301D,Undergraduate Chemistry Course Instruction
CHEM 301T,Undergraduate Preparation for Teaching or Instruction in Teaching
CHEM 301W,Supervised Instruction of Chemistry Scholars
CHEM 375,Professional Preparation: Supervised Teaching of Chemistry
CHEM 602,Individual Study for Doctoral Students
CHEM 700,QB3 Colloquium for Graduate Students
CHICANO 1AX,Reading and Composition
CHICANO R1A,Reading and Composition
CHICANO R1AN,Reading and Composition
CHICANO R1B,Reading and Composition
CHICANO 5,Intensive Elementary Spanish Language and Latin American Culture
CHICANO 10,Intensive Intermediate Spanish Language and Mexican Culture
CHICANO 20,Introduction to Chicano Culture
CHICANO 24,Freshman Seminar
CHICANO 39A,Freshman/Sophomore Seminar
CHICANO 40,Introduction to Chicano Literature in English
CHICANO 50,Introduction to Chicano History
CHICANO 70,Latino Politics
CHICANO 97,Field Study in Chicano Studies
CHICANO 98,Supervised Group Study
CHICANO 99,Supervised Independent Study and Research
CHICANO 110,Latina/o Philosophy and Religious Thought
CHICANO 130,Mexican and Chicano Art History
CHICANO 133,Chicano Music
CHICANO 135A,Latino Narrative Film: to the 1980s
CHICANO 135B,Latino Narrative Film Since 1990
CHICANO 135C,Latino Documentary Film
CHICANO 141,Chicana Feminist Writers and Discourse
CHICANO 142,Major Chicano Writers
CHICANO 143,Chicano and Latin American Literature
CHICANO 150B,History of the Southwest: Mexican-United States War to Present
CHICANO 152,The History of Latina/o Studies
CHICANO 159,Mexican Immigration
CHICANO 161,Central American Peoples and Cultures
CHICANO C161,Central American Peoples and Cultures
CHICANO 162,The U.S. Role in Central America
CHICANO 163,Caribbean Migration to Western Europe and the United States
CHICANO 165,"Cuba, the United States and Cuban Americans"
CHICANO 172,Chicanos and the Educational System
CHICANO 174,"Chicanos, Law, and Criminal Justice"
CHICANO 176,Chicanos and Health Care
CHICANO 180,Topics in Chicano Studies
CHICANO 180AC,Topics in Chicano Studies
CHICANO 180M,Topics in Chicano Studies
CHICANO 194A,Casa Mora Theme Program Seminar
CHICANO 194B,Case Mora Theme Program Seminar
CHICANO 195,Senior Thesis
CHICANO H195A,Senior Honors Thesis for Chicano Studies Majors
CHICANO H195B,Senior Honors Thesis for Chicano Studies Majors
CHICANO 197,Field Work in Chicano Studies
CHICANO 198,Directed Group Study
CHICANO 199,Supervised Independent Study and Research
CHINESE 1,Intensive Elementary Chinese
CHINESE 1A,Elementary Chinese
CHINESE 1B,Elementary Chinese
CHINESE 1X,Elementary Chinese for Mandarin Speakers
CHINESE 1Y,Elementary Chinese for Dialect Speakers
CHINESE 7A,Introduction to Premodern Chinese Literature and Culture
CHINESE 7B,Introduction to Modern Chinese Literature and Culture
CHINESE 10,Intensive Intermediate Chinese
CHINESE 10A,Intermediate Chinese
CHINESE 10B,Intermediate Chinese
CHINESE 10X,Intermediate Chinese for Mandarin Speakers
CHINESE 10Y,Intermediate Chinese for Dialect Speakers
CHINESE 51,Chinese Thought in the Han Dynasty
CHINESE 98,Directed Group Study for Lower Division Students
CHINESE 99,Independent Study for Lower Division Students
CHINESE 100A,Advanced Chinese
CHINESE 100B,Advanced Chinese
CHINESE 100XA,Advanced Chinese for Mandarin Speakers
CHINESE 100XB,Advanced Chinese for Mandarin Speakers
CHINESE 100YA,Advanced Chinese for Dialect Speakers
CHINESE 100YB,Advanced Chinese for Dialect Speakers
CHINESE 101,Fourth-Year Chinese Readings: Literature
CHINESE 102,Fourth-Year Chinese Readings: Social Sciences and History
CHINESE 105,Business Chinese
CHINESE 110,Introduction to Literary Chinese
CHINESE 110A,Introduction to Literary Chinese
CHINESE 110B,Introduction to Literary Chinese
CHINESE 111,Fifth-Year Readings: Reading and Analysis of Advanced Chinese Texts
CHINESE 112,Fifth-Year Readings: Chinese for Research and Professional Use
CHINESE C116,Buddhism in China
CHINESE 120,Ancient Chinese Prose
CHINESE 122,Ancient Chinese Poetry
CHINESE 130,Topics in Daoism
CHINESE 134,Readings in Classical Chinese Poetry
CHINESE 136,Readings in Medieval Prose
CHINESE C140,Readings in Chinese Buddhist Texts
CHINESE 153,Reading Taiwan
CHINESE 155,Readings in Vernacular Chinese Literature
CHINESE 156,Modern Chinese Literature
CHINESE 157,Contemporary Chinese Literature
CHINESE 158,Reading Chinese Cities
CHINESE 159,Cities and the Country
CHINESE 161,Structure of the Chinese Language
CHINESE 165,History of the Chinese Language
CHINESE 172,Contemporary Chinese Language Cinema
CHINESE 176,Bad Emperors: Fantasies of Sovereignty and Transgression in the Chinese Tradition
CHINESE 178,Traditional Chinese Drama
CHINESE 179,Exploring Premodern Chinese Novels
CHINESE 180,The Story of the Stone
CHINESE C184,Sonic Culture in China
CHINESE 186,Confucius and His Interpreters
CHINESE 187,Literature and Media Culture in Taiwan
CHINESE 188,Popular Media in Modern China
CHINESE 189,"Chinese Landscapes: Space, Place, and Travel"
CHINESE H195A,Honors Course
CHINESE H195B,Honors Course
CHINESE 198,Directed Group Study
CHINESE 199,Independent Study
CHINESE 220,Seminar in Philological Analysis of Ancient Chinese Texts
CHINESE 221,Reading the Zhuangzi
CHINESE 222,Early Chinese Thought
CHINESE C223,Readings in Chinese Buddhist Texts
CHINESE 230,Seminar in Chinese Literary History
CHINESE 234,Texts on the Civilization of Medieval China
CHINESE 242,Genre and Method in Traditional Chinese Texts
CHINESE 254,Chinese Literatures and Cultures in Global Context
CHINESE 255,Late Imperial Fiction and Drama
CHINESE 257,Modern Chinese Literature
CHINESE 280,Modern Chinese Cultural Studies
CHINESE 298,Directed Study for Graduate Students
CHINESE 299,Thesis Preparation and Related Research
CHINESE 601,Individual Study for Master's Students
CHINESE 602,Individual Study for Doctoral Students
CY PLAN 97,Field Studies in City and Regional Planning
CY PLAN 98,Special Group Study
CY PLAN 101,Introduction to Urban Data Analytics
CY PLAN 110,Introduction to City Planning
CY PLAN 111,Introduction to Housing: An International Survey
CY PLAN 113A,Economic Analysis for Planning
CY PLAN 113B,Community and Economic Development
CY PLAN 114,Introduction to Urban and Regional Transportation
CY PLAN 115,Urbanization in Developing Countries
CY PLAN N115,Urbanization in Developing Countries
CY PLAN 116,Urban Planning Process--The Undergraduate Planning Studio
CY PLAN 118AC,The Urban Community
CY PLAN 119,Planning for Sustainability
CY PLAN 120,Community Planning and Public Policy for Disability
CY PLAN C139,Urban and Sub-national Politics in Developing Countries
CY PLAN 140,Urban Design: City-Building and Place-Making
CY PLAN 180,Research Seminar in Urban Studies
CY PLAN 190,Advanced Topics in Urban Studies
CY PLAN 197,Field Studies
CY PLAN 198,Special Group Study
CY PLAN 199,Special Study for Advanced Undergraduates
CY PLAN 200,History of City Planning
CY PLAN 201A,Planning Methods Gateway: Part I
CY PLAN 201B,Planning Methods Gateway: Part II
CY PLAN 202,Practice Gateway: Introduction to Planning Practice
CY PLAN 204B,Analytic and Research Methods for Planners: Research Methods for Planners
CY PLAN 204C,Analytic and Research Methods for Planners: Introduction to GIS and City Planning
CY PLAN 204D,Analytic and Research Methods for Planners: Multivariate Analysis in Planning
CY PLAN 205,Introduction to Planning and Environmental Law
CY PLAN 207,Land and Housing Market Economics
CY PLAN 208,Plan Preparation Studio
CY PLAN C213,Transportation and Land Use Planning
CY PLAN 214,Infrastructure Planning and Policy
CY PLAN 216,Active Transportation
CY PLAN C217,Transportation Policy and Planning
CY PLAN 218,Transportation Planning Studio
CY PLAN 219,Comparative International Topics in Transportation
CY PLAN 220,The Urban and Regional Economy
CY PLAN 223,Economic Development Planning
CY PLAN 228,Research Workshop on Metropolitan Regional Planning
CY PLAN 230,"U.S. Housing, Planning, and Policy"
CY PLAN 231,Housing in Developing Countries
CY PLAN 235,Methods of Project Analysis
CY PLAN 238,Development--Design Studio
CY PLAN C240,Theories of Urban Form and Design
CY PLAN C241,Research Methods in Environmental Design
CY PLAN C243,Shaping the Public Realm
CY PLAN 248,Advanced Studio: Urban Design/Environmental Planning
CY PLAN 249,Urban Design in Planning
CY PLAN C251,Environmental Planning and Regulation
CY PLAN 252,Land Use Controls
CY PLAN 254,Sustainable Communities
CY PLAN 255,Urban Planning Applications of Geographic Information Systems
CY PLAN C256,Healthy Cities
CY PLAN 260,"Theory, History, and Practice of Community Development"
CY PLAN C261,Citizen Involvement in the City Planning Process
CY PLAN 268,Community Development Studio/Workshop
CY PLAN 271,Development Theories and Practices
CY PLAN 275,Comparative Analysis of Urban Policies
CY PLAN 280A,Doctoral Seminars: Research Design for the Ph.D
CY PLAN 280C,Doctoral Seminars: Doctoral Colloquium
CY PLAN 281,Theories of Planning Practice
CY PLAN 290,Topics in City and Metropolitan Planning
CY PLAN 291,Special Projects Studio in Planning
CY PLAN 295,Supervised Research in City and Regional Planning
CY PLAN 297,Supervised Field Study in City and Regional Planning
CY PLAN 298,Group Studies
CY PLAN 299,Individual Study or Research
CY PLAN N299,Individual Study or Research
CY PLAN 375,Supervised Teaching in City and Regional Planning
CY PLAN 602,Individual Study for Doctoral Students
CIV ENG 11,Engineered Systems and Sustainability
CIV ENG 24,Freshman Seminars
CIV ENG C30,Introduction to Solid Mechanics
CIV ENG W30,Introduction to Solid Mechanics
CIV ENG 60,Structure and Properties of Civil Engineering Materials
CIV ENG 70,Engineering Geology
CIV ENG 88,Data Science for Smart Cities
CIV ENG 88B,Time Series Analysis: Sea Level Rise and Coastal Flooding
CIV ENG 92,Introduction to Civil and Environmental Engineering
CIV ENG 93,Engineering Data Analysis
CIV ENG 98,Supervised Group Study and Research
CIV ENG 99,Supervised Independent Study and Research
CIV ENG 100,Elementary Fluid Mechanics
CIV ENG 101,"Fluid Mechanics of Rivers, Streams, and Wetlands"
CIV ENG 103,Introduction to Hydrology
CIV ENG 105,Environmental Fluid Mechanics and Hydrology
CIV ENG C106,Air Pollution
CIV ENG 107,Climate Change Mitigation
CIV ENG 110,Water Systems of the Future
CIV ENG 111,Environmental Engineering
CIV ENG 111L,Water and Air Quality Laboratory
CIV ENG 112,Environmental Engineering Design
CIV ENG 113,Ecological Engineering for Water Quality Improvement
CIV ENG 114,Environmental Microbiology
CIV ENG 115,Water Chemistry
CIV ENG C116,Chemistry of Soils
CIV ENG 120,Structural Engineering
CIV ENG 121,Structural Analysis
CIV ENG 122L,Structural Steel Design Project
CIV ENG 122N,Design of Steel Structures
CIV ENG 123L,Structural Concrete Design Project
CIV ENG 123N,Design of Reinforced Concrete Structures
CIV ENG 124,Structural Design in Timber
CIV ENG 130N,Mechanics of Structures
CIV ENG C133,Engineering Analysis Using the Finite Element Method
CIV ENG 140,Failure Mechanisms in Civil Engineering Materials
CIV ENG 153,Transportation Facility Design
CIV ENG 155,Transportation Systems Engineering
CIV ENG 156,Infrastructure Planning and Management
CIV ENG 165,"Concrete Materials, Construction, and Sustainability"
CIV ENG 166,Construction Engineering
CIV ENG 167,Engineering Project Management
CIV ENG 171,Rock Mechanics
CIV ENG 173,Groundwater and Seepage
CIV ENG 174,Engineering Geomatics
CIV ENG 175,Geotechnical and Geoenvironmental Engineering
CIV ENG 176,Environmental Geotechnics
CIV ENG 177,Foundation Engineering Design
CIV ENG C178,Applied Geophysics
CIV ENG 180,Life-Cycle Design and Construction
CIV ENG 186,Design of Cyber-Physical Systems
CIV ENG 190,Special Topics in Civil and Environmental Engineering
CIV ENG 191,Civil and Environmental Engineering Systems Analysis
CIV ENG 192,The Art and Science of Civil and Environmental Engineering Practice
CIV ENG 193,Engineering Risk Analysis
CIV ENG H194,Honors Undergraduate Research
CIV ENG 197,Field Studies in Civil Engineering
CIV ENG 198,Directed Group Study for Advanced Undergraduates
CIV ENG 199,Supervised Independent Study
CIV ENG 200A,Environmental Fluid Mechanics
CIV ENG 200B,Numerical Methods for Environmental Flow Modeling
CIV ENG 200C,Transport and Mixing in the Environment
CIV ENG 202A,Vadose Zone Hydrology
CIV ENG 203A,Graduate Hydrology
CIV ENG 203N,Surface Water Hydrology
CIV ENG 205B,Margins of Quality for Engineered Systems
CIV ENG 209,Design for Sustainable Communities
CIV ENG 210,Control of Water-Related Pathogens
CIV ENG 211A,Environmental Physical-Chemical Processes
CIV ENG 211B,Environmental Biological Processes
CIV ENG 213,Watersheds and Water Quality
CIV ENG 217,Environmental Chemical Kinetics
CIV ENG 218A,Air Quality Engineering
CIV ENG 218B,Atmospheric Aerosols
CIV ENG 218C,Air Pollution Modeling
CIV ENG 220,Structural Analysis Theory and Applications
CIV ENG 220N,Nonlinear Structural Analysis
CIV ENG 221,Nonlinear Structural Analysis
CIV ENG 222,Finite Element Methods
CIV ENG 223,Earthquake Protective Systems
CIV ENG W224A,Introduction to Earthquake Engineering
CIV ENG W224B,Linear Analysis of Structural and Geotechnical Systems
CIV ENG W224C,Earthquake Geotechnical Engineering
CIV ENG W224D,Nonlinear Analysis of Structural and Geotechnical Systems
CIV ENG W224E,Earthquake Resistant Design
CIV ENG W224F,Risk Analysis and Decision Making
CIV ENG W224G,Earthquake Resistant Concrete Structures
CIV ENG W224H,Earthquake-Resistant Steel Structures
CIV ENG W224I,Dynamic Response of Foundations/Soil-Structure Interaction
CIV ENG W224J,Performance-Based Earthquake Engineering
CIV ENG 225,Dynamics of Structures
CIV ENG 226,Stochastic Structural Dynamics
CIV ENG 227,Earthquake-Resistant Design
CIV ENG 228,Advanced Earthquake Analysis
CIV ENG 229,Structural System Reliability
CIV ENG C231,Mechanics of Solids
CIV ENG 232,Structural Mechanics
CIV ENG 233,Computational Mechanics
CIV ENG 234,Computational Inelasticity
CIV ENG C235,Introduction to Statistical Mechanics for Engineers
CIV ENG C236,Micromechanics
CIV ENG C237,Computational Nano-mechanics
CIV ENG 240,Civil Engineering Materials
CIV ENG 241,Concrete Technology
CIV ENG 244,Reinforced Concrete Structures
CIV ENG 245,Behavior of Reinforced Concrete
CIV ENG 246,Prestressed Concrete Structures
CIV ENG 247,Design of Steel and Composite Structures
CIV ENG 248,Behavior and Plastic Design of Steel Structures
CIV ENG 249,Experimental Methods in Structural Engineering
CIV ENG C250N,Transportation Policy and Planning
CIV ENG 251,Operation of Transportation Facilities
CIV ENG 252,Systems Analysis in Transportation
CIV ENG 253,Intelligent Transportation Systems
CIV ENG 254,Transportation Economics
CIV ENG 255,Highway Traffic Operations
CIV ENG 256,Transportation Sustainability
CIV ENG 258,Logistics
CIV ENG C258,Supply Chain and Logistics Management
CIV ENG 259,Public Transportation Systems
CIV ENG 260,Air Transportation
CIV ENG 261,Infrastructure Systems Management
CIV ENG 262,Analysis of Transportation Data
CIV ENG 263,Operations of Transportation Terminals
CIV ENG 263N,Scalable Spatial Analytics
CIV ENG 264,"Behavioral Modeling for Engineering, Planning, and Policy Analysis"
CIV ENG C265,Traffic Safety and Injury Control
CIV ENG 268A,Lean Construction Concepts and Methods
CIV ENG 268B,Lean Construction and Supply Chain Management
CIV ENG 268D,Law for Engineers
CIV ENG 268E,Civil Systems and the Environment
CIV ENG 268H,Advanced Project Planning and Control
CIV ENG 268I,Business Fundamentals for Engineers
CIV ENG 268K,Human and Organizational Factors: Quality and Reliability of Engineered Systems
CIV ENG 270,Advanced Geomechanics
CIV ENG 271,Sensors and Signal Interpretation
CIV ENG 272,Numerical Modelling in Geomechanics
CIV ENG 273,Advanced GeoEngineering Testing and Design
CIV ENG 275,Geotechnical Earthquake Engineering
CIV ENG C276,Seismic Hazard Analysis and Design Ground Motions
CIV ENG 277,Advanced Foundation Engineering
CIV ENG 281,Engineering Geology
CIV ENG 285C,Seismic Methods in Applied Geophysics
CIV ENG 286,Digital Data Processing
CIV ENG C289,"Embedded System Design: Modeling, Analysis, and Synthesis"
CIV ENG 290,Advanced Special Topics in Civil and Environmental Engineering
CIV ENG C290U,Transportation and Land Use Planning
CIV ENG 290F,Advanced Topics in Seismology
CIV ENG 290I,Civil Systems: Control and Information Management
CIV ENG 290J,Advanced Topics in Geotechnical Engineering
CIV ENG 290T,Advanced Topics in Transportation Theory
CIV ENG C291F,Control and Optimization of Distributed Parameters Systems
CIV ENG 291G,"Advanced Estimation, Control, and Optimization of Partial Differential Equations"
CIV ENG 292A,Technologies for Sustainable Societies
CIV ENG 295,Energy Systems and Control
CIV ENG 297,Field Studies in Civil and Environmental Engineering
CIV ENG 298,"Group Studies, Seminars, or Group Research"
CIV ENG 299,Individual Research
CIV ENG 301,Workshop for Future Civil and Environmental Engineering Teachers
CIV ENG 601,Individual Study for Master's Students
CIV ENG 602,Individual Study for Doctoral Students
CLASSIC 10A,Introduction to Greek Civilization
CLASSIC 10B,Introduction to Roman Civilization
CLASSIC 17A,Introduction to the Archaeology of the Greek World
CLASSIC 17B,Introduction to the Archaeology of the Roman World
CLASSIC 24,Freshman Seminars
CLASSIC 28,The Classic Myths
CLASSIC N28,The Classic Myths
CLASSIC 29,Introduction to Greco-Roman Magic
CLASSIC 34,Epic Poetry: Homer and Vergil
CLASSIC 35,Greek Tragedy
CLASSIC 36,Greek Philosophy
CLASSIC 39D,"Utopia, Dystopia"
CLASSIC R44,Roots of Western Civilization
CLASSIC 98,Directed Group Study for Freshmen and Sophomores
CLASSIC 99,Supervised Independent Study and Research
CLASSIC 121,Ancient Religion
CLASSIC 124,Classical Poetics
CLASSIC 130,Topics in Ancient Greek and Roman Culture
CLASSIC 161,"Gender, Sexuality, and Culture in the Ancient World"
CLASSIC 163,Topics in Greek Philosophy
CLASSIC 170A,Classical Archaeology: Greek Vase Painting
CLASSIC 170C,Classical Archaeology: Greek Architecture
CLASSIC 170D,Classical Archaeology: Roman Art and Architecture
CLASSIC 172,Art and Archaeology of the Aegean Bronze Age
CLASSIC N172A,"Archaeological Field School in Nemea, Greece"
CLASSIC N172B,"Archaeological Field School in Mycenae, Greece"
CLASSIC 175A,Topography and Monuments: Athens
CLASSIC C175F,Pictorial Representation in the Roman World
CLASSIC 175D,Topography and Monuments: Pompeii and Herculaneum
CLASSIC 175F,Topography and Monuments: Roman Wall Painting
CLASSIC 175G,Topography and Monuments: Ptolemaic and Roman Egypt
CLASSIC 180,Ancient Athletics
CLASSIC H195A,Honors Course in Classics
CLASSIC H195B,Honors Course in Classics
CLASSIC 198,Directed Group Study for Advanced Undergraduates
CLASSIC 199,Supervised Independent Study and Research
CLASSIC 200,Proseminar
CLASSIC 201A,Survey of Greek Literature
CLASSIC 201B,Survey of Greek Literature
CLASSIC 202A,Survey of Latin Literature
CLASSIC 202B,Survey of Latin Literature
CLASSIC 203,Approaches to Classical Literature
CLASSIC C204,Proseminar in Classical Archaeology and Ancient Art
CLASSIC 211,Archaic Greek Poetry
CLASSIC 213,Hellenistic Poetry
CLASSIC 214,Greek Drama
CLASSIC 218,Greek Philosophers
CLASSIC 219,Ancient Novel
CLASSIC 220A,Greek and Latin Epigraphy
CLASSIC 224,Classical Poetics and Rhetoric
CLASSIC 225,Papyrology
CLASSIC 226,Myth and Literature
CLASSIC 228,Ancient Society and Law
CLASSIC 230,Latin Poetry of the Republic and Early Empire
CLASSIC 239,"Topics in Greek or Roman Literature, History, and Culture"
CLASSIC 250,Advanced Greek Composition
CLASSIC 260,Advanced Latin Composition
CLASSIC 270,Seminar in Classical Archaeology
CLASSIC 298,Special Study
CLASSIC 299,Special Study
CLASSIC 302,Teaching Practicum
CLASSIC 375,Teaching of Classics: Methods and Problems
CLASSIC 601,Individual Study for Master's Candidates
CLASSIC 602,Individual Study for Doctoral Candidates
COG SCI 1,Introduction to Cognitive Science
COG SCI 1B,Introduction to Cognitive Science
COG SCI N1,Introduction to Cognitive Science
COG SCI 88,Data Science and the Mind
COG SCI 98,Directed Group Study
COG SCI 99,Supervised Independent Study and Research
COG SCI C100,Basic Issues in Cognition
COG SCI N100,Basic Issues in Cognition
COG SCI C101,The Mind and Language
COG SCI C102,Scientific Approaches to Consciousness
COG SCI C104,"The Mind, Language, and Politics"
COG SCI C126,Perception
COG SCI C127,Cognitive Neuroscience
COG SCI 131,Computational Models of Cognition
COG SCI C140,Quantitative Methods in Linguistics
COG SCI C142,Language and Thought
COG SCI C147,Language Disorders
COG SCI 190,Special Topics in Cognitive Science
COG SCI H195A,Special Study for Honors Candidates
COG SCI H195B,Special Study for Honors Candidates
COG SCI 197,Academic Internship Credit
COG SCI 198,Directed Group Study
COG SCI 199,Independent Study in Research
COG SCI 201,Graduate Seminar on the Mind and Language
COG SCI 300,Teaching Cognitive Science
COLWRIT 1,Grammar and Vocabulary of Written English
COLWRIT R1A,Accelerated Reading and Composition
COLWRIT W1,Grammar and Vocabulary of Written English (Web-based)
COLWRIT N2,Writing the Bridge: From High School to the University
COLWRIT R4A,Reading and Composition
COLWRIT R4B,"Reading, Composition, and Research"
COLWRIT 5A,English through Broadway Musicals
COLWRIT 5B,English through Drama
COLWRIT 5C,English Through Film
COLWRIT 5D,English Through Literature
COLWRIT 5E,English Through Popular Music
COLWRIT 5F,"English, Research, and Human Rights"
COLWRIT 5G,"English, Research, and Multicultural California"
COLWRIT 5H,"English, Research, and Sustainability"
COLWRIT 5I,"Television, Culture, and Communication"
COLWRIT 5J,"Language, Culture, and Consumerism"
COLWRIT 5K,"Culture, Communication, and the Media"
COLWRIT 5L,"English, Research, and Environmental Issues"
COLWRIT 6A,Intensive English Practice: Academic Speaking
COLWRIT 6B,Intensive English Practice: Academic Vocabulary
COLWRIT 6C,Intensive English Practice: Business Vocabulary
COLWRIT 6E,Intensive English Practice: Grammar and Editing
COLWRIT 6F,Intensive English Practice: Listening and Speaking
COLWRIT 6G,Intensive English Practice: Writing for New Media
COLWRIT 6H,Intensive English Practice: Writing Creative Non-Fiction
COLWRIT 6I,Intensive English Practice: Conflict Resolution Skills
COLWRIT 6J,Intensive English Practice: Academic Test Preparation
COLWRIT 6K,Intensive English Practice: Academic Reading and Writing
COLWRIT 7A,American Language and Culture: The Media
COLWRIT 7B,English Language and Culture: The Beat Poets of 1950s San Francisco
COLWRIT 7C,American Language and Culture: Business and Social Entrepreneurship
COLWRIT 7D,English Language Studies: Food Culture in the U.S.
COLWRIT 7E,American Language and Culture: The Environment
COLWRIT 7G,"American Language and Culture: Community Building, Engagement, and Transformation"
COLWRIT 7H,English Language Studies: American Language and Culture: English Language Studies: Popular Music in the U.S.
COLWRIT 7I,English Language Studies: American Language and Culture: English Language Studies: California History
COLWRIT 7J,American Language and Culture: California Culture
COLWRIT 7K,American Language and Culture: Humor
COLWRIT 7L,English Language and Culture: American Sports and Games
COLWRIT 8,English for Academic and Professional Purposes
COLWRIT 9A,Academic Research for Multilingual Students
COLWRIT 9B,Academic Vocabulary for Multilingual Students
COLWRIT 9C,Academic Writing for Multilingual Students
COLWRIT 9E,Business English for Multilingual Students
COLWRIT 9F,Business Speaking for Multilingual Students
COLWRIT 9G,Medical and Health Care English for Multilingual Students
COLWRIT 9I,Conflict Resolution Communication Skills for Multilingual Students
COLWRIT 9J,English Grammar and Academic Writing Style for Multilingual Students
COLWRIT 9N,Legal English and U.S. Law for Multilingual Students
COLWRIT 9O,Legal Writing for Multilingual Students
COLWRIT 9P,"English for Specific Purposes: Conflict Resolution for Business, Law, and International Relations"
COLWRIT 9R,Academic and Public Speaking for Multilingual Students
COLWRIT 9S,Pronunciation for Multilingual Students
COLWRIT 9V,Science and Engineering English for Multilingual Students
COLWRIT 9W,Speech and Debate for Multilingual Students
COLWRIT W9,English for Specific Purposes Online
COLWRIT 9XX,Storytelling in the Arts and Sciences for Multilingual Students
COLWRIT 9Y,Creative Writing for Multilingual Students
COLWRIT 10A,Introduction to Public Speaking
COLWRIT 10B,Advanced Public Speaking
COLWRIT 20,Communicating in Class: Advanced Listening and Speaking for International Students
COLWRIT 21,Advanced Listening and Speaking for International Students: Conflict Management for Academic Success at the University
COLWRIT 25AC,Reading in and about U.S. Education Institutions
COLWRIT 50AC,"Researching Water in the West: Its Presence, Its Absence, and Its Consequences for the Peoples of California"
COLWRIT 98,Directed Group Study
COLWRIT 99,Supervised Independent Study
COLWRIT 105,Intermediate Writing: Finding Your Voice with Others
COLWRIT 106,Intermediate Composition: Argument in the Disciplines
COLWRIT 108,Advanced Composition: New Media
COLWRIT 109C,Academic Writing for Multilingual Students
COLWRIT 110,Advanced Composition: Challenging Writing
COLWRIT 121,Issues in Teaching English Internationally
COLWRIT 130,Introduction to the Craft of Creative Writing
COLWRIT 131,Introduction to the Craft of Creative Nonfiction
COLWRIT 132,Introduction to the Craft of Short Fiction
COLWRIT 133,Introduction to the Craft of Dramatic Writing
COLWRIT 140A,Readings on Creative Writing
COLWRIT 140B,Seminar-Workshop in Creative Writing
COLWRIT 141,Seminar-Workshop on Creative Writing: The Novel
COLWRIT 150AC,"Researching Water in the West: Its Presence, Its Absence, and Its Consequences for the Peoples of California"
COLWRIT 151,Introduction to Principles of Professional Communication
COLWRIT 152,Advanced Professional Communication
COLWRIT 161,Writing in the Biological Sciences
COLWRIT 180,Travel Writing
COLWRIT 181,Global London
COLWRIT W181,Curating Global London
COLWRIT 192AC,Advanced Composition: Community-Based Ethics
COLWRIT 198,Directed Group Study
COLWRIT 199,Supervised Independent Study
COLWRIT 310,Practicum in Teaching English as a Second Language
COLWRIT 375,Introduction to Theories and Practices of Teaching College Composition
COMPBIO 294,Comparative Biochemistry Seminar
COMPBIO 299,Graduate Research
COM LIT H1A,English Composition in Connection with the Reading of World Literature
COM LIT H1B,English Composition in Connection with the Reading of World Literature
COM LIT N1A,English Composition in Connection with the Reading of World Literature
COM LIT N1B,English Composition in Connection with the Reading of World Literature
COM LIT R1A,English Composition in Connection with the Reading of World Literature
COM LIT R1B,English Composition in Connection with the Reading of World Literature
COM LIT R2A,English Composition in Connection with Reading of World and French Literature
COM LIT R2B,English Composition in Connection with Reading of World and French Literature
COM LIT R3A,English Composition in Connection with Reading of World and Hispanic Literature
COM LIT R3B,English Composition in Connection with Reading of World and Hispanic Literature
COM LIT 20,Episodes in Literary Cultures
COM LIT 20A,Introduction to Comparative Literature: Literature and Philosophy
COM LIT 20B,Episodes in Literary Cultures: Literature and Society
COM LIT 20C,Episodes in Literary Cultures: Literature and History
COM LIT 24,Freshman Seminar
COM LIT 39H,Freshman/Sophomore Seminar
COM LIT N40,Women and Literature
COM LIT 41A,Introduction to Literary Forms: Forms of the Epic
COM LIT 41C,Introduction to Literary Forms: Forms of the Novel
COM LIT 41D,Introduction to Literary Forms: Forms of the Drama
COM LIT 41E,Introduction to Literary Forms: Forms of the Cinema
COM LIT N41,Introduction to Literary Forms
COM LIT N41A,Introduction to Literary Forms: The Epic
COM LIT N41B,Introduction to Literary Forms: The Lyric
COM LIT N41C,Introduction to Literary Forms: The Novel
COM LIT N41D,Introduction to Literary Forms: The Drama
COM LIT 50,Creative Writing in Comparative Literature
COM LIT 60AC,Topics in the Literature of American Cultures
COM LIT N60AC,Topics in the Literature of American Cultures
COM LIT 98,Directed Group Study for Freshmen and Sophomores
COM LIT 100,Introduction to Comparative Literature
COM LIT 100A,Introduction to Comparative Literature: Literature and Philosophy
COM LIT 100B,Introduction to Comparative Literature: Society and Culture
COM LIT 100C,Introduction to Comparative Literature: Literary and Cultural History
COM LIT 100D,Introduction to Comparative Literature
COM LIT 112A,Modern Greek Language and Modern Greek Composition
COM LIT 112B,Modern Greek Language and Modern Greek Composition
COM LIT 120,The Biblical Tradition in Western Literature
COM LIT 151,The Ancient Mediterranean World
COM LIT 152,The Middle Ages
COM LIT 153,The Renaissance
COM LIT 154,Eighteenth- and 19th-Century Literature
COM LIT 155,The Modern Period
COM LIT 156,Fiction and Culture of the Americas
COM LIT 165,Myth and Literature
COM LIT 170,Special Topics in Comparative Literature
COM LIT 171,Topics in Modern Greek Literature
COM LIT 190,Senior Seminar in Comparative Literature
COM LIT H195,Honors Course
COM LIT 198,Directed Group Study
COM LIT 199,Supervised Independent Study and Research
COM LIT 200,Approaches to Comparative Literature
